#OTU ID	N_1	N_2	N_3
ASV_84	0	90	0
ASV_85	0	37	0
ASV_86	0	34	0
ASV_87	0	38	0
ASV_88	0	30	0
ASV_89	0	64	0
ASV_9	0	2258	0
ASV_90	0	22	7
ASV_91	0	20	0
ASV_92	0	19	0
ASV_93	0	22	1
ASV_94	0	40	0
ASV_95	8	1	682
ASV_96	4	0	33
ASV_97	7	0	16
ASV_98	0	73	0
ASV_99	0	41	0
